Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.08     0.00   248502     0.00     0.00  void std::allocator_traits<std::allocator<Edge> >::construct<Edge, Edge>(std::allocator<Edge>&, Edge*, Edge&&)
  0.00      2.08     0.00   248502     0.00     0.00  void std::vector<Edge, std::allocator<Edge> >::emplace_back<Edge>(Edge&&)
  0.00      2.08     0.00   248502     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::push_back(Edge&&)
  0.00      2.08     0.00   248502     0.00     0.00  std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::at(unsigned long)
  0.00      2.08     0.00   248502     0.00     0.00  std::vector<bool, std::allocator<bool> >::at(unsigned long)
  0.00      2.08     0.00   248502     0.00     0.00  std::remove_reference<Edge&>::type&& std::move<Edge&>(Edge&)
  0.00      2.08     0.00   124253     0.00     0.00  std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator()
  0.00      2.08     0.00   124252     0.00     0.00  void __gnu_cxx::new_allocator<unsigned int>::destroy<unsigned int>(unsigned int*)
  0.00      2.08     0.00   124252     0.00     0.00  void __gnu_cxx::new_allocator<unsigned int>::construct<unsigned int, unsigned int const&>(unsigned int*, unsigned int const&)
  0.00      2.08     0.00   124252     0.00     0.00  void std::allocator_traits<std::allocator<unsigned int> >::destroy<unsigned int>(std::allocator<unsigned int>&, unsigned int*)
  0.00      2.08     0.00   124252     0.00     0.00  void std::allocator_traits<std::allocator<unsigned int> >::construct<unsigned int, unsigned int const&>(std::allocator<unsigned int>&, unsigned int*, unsigned int const&)
  0.00      2.08     0.00   124252     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::pop_back()
  0.00      2.08     0.00   124252     0.00     0.00  std::stack<unsigned int, std::deque<unsigned int, std::allocator<unsigned int> > >::pop()
  0.00      2.08     0.00   124252     0.00     0.00  std::stack<unsigned int, std::deque<unsigned int, std::allocator<unsigned int> > >::push(unsigned int const&)
  0.00      2.08     0.00   124251     0.00     0.00  Graph::addEdge(Edge const&)
  0.00      2.08     0.00   124251     0.00     0.00  Graph::addEdge(unsigned int, unsigned int)
  0.00      2.08     0.00    50898     0.00     0.00  std::_Bit_iterator::operator++()
  0.00      2.08     0.00    50898     0.00     0.00  std::_Bit_const_iterator::operator++()
  0.00      2.08     0.00     7782     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      2.08     0.00     5838     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::_S_buffer_size()
  0.00      2.08     0.00     4868     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::_M_set_node(unsigned int**)
  0.00      2.08     0.00     3996     0.00     0.00  std::_Bit_iterator::_Bit_iterator()
  0.00      2.08     0.00     2996     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::~new_allocator()
  0.00      2.08     0.00     2996     0.00     0.00  std::allocator<unsigned long>::~allocator()
  0.00      2.08     0.00     2994     0.00     0.00  unsigned long* std::__niter_base<unsigned long*>(unsigned long*)
  0.00      2.08     0.00     1999     0.00     0.00  unsigned long* std::__addressof<unsigned long>(unsigned long&)
  0.00      2.08     0.00     1998     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl_data::_Bvector_impl_data()
  0.00      2.08     0.00     1998     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_S_nword(unsigned long)
  0.00      2.08     0.00     1997     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::new_allocator(__gnu_cxx::new_allocator<unsigned long> const&)
  0.00      2.08     0.00     1997     0.00     0.00  std::allocator<unsigned long>::allocator(std::allocator<unsigned long> const&)
  0.00      2.08     0.00     1996     0.00     0.00  std::vector<bool, std::allocator<bool> >* std::__addressof<std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >&)
  0.00      2.08     0.00     1996     0.00     0.00  unsigned long* std::__miter_base<unsigned long*>(unsigned long*)
  0.00      2.08     0.00     1996     0.00     0.00  std::_Bit_const_iterator std::__miter_base<std::_Bit_const_iterator>(std::_Bit_const_iterator)
  0.00      2.08     0.00     1996     0.00     0.00  std::_Bit_const_iterator std::__niter_base<std::_Bit_const_iterator>(std::_Bit_const_iterator)
  0.00      2.08     0.00     1943     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::_M_max_size() const
  0.00      2.08     0.00     1009     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
